"","source","target","type.x","time","dwell","arrivaldate","name.x.x","type.y","date.x","qty.x.x","id.x","name.x","type.x.x","date.x.x","qty.x","source.y","type.y.x","date.y.x","name.y","type.x.y","date.x.y","qty.y","type.y.y","date.y.y","name.y.y","type","date.y","qty.y.y","suspect_arrival2"
"11","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-10T09:07:09.021778",312770.978222,"2035-05-10",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_305464b1","Event.Transaction","2035-05-11",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-05-11",NA,"Entity.Document.DeliveryReport","2035-05-11","71.25","2035-05-11"
"12","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-17T09:18:50.834156",96111.158102,"2035-05-17",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscissapidum9b7","Harland/Piscis sapidum","Entity.Commodity.Fish",NA,NA,"cargo_2035_3113485f","Event.Transaction","2035-05-18",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-05-18",NA,"Entity.Document.DeliveryReport","2035-05-18","37.125","2035-05-18"
"13","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-31T09:04:39.758982",140365.266125,"2035-05-31",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_3055178e","Event.Transaction","2035-06-01",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-06-01",NA,"Entity.Document.DeliveryReport","2035-06-01","80.625","2035-06-01"
"14","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-07T13:14:58.000122",82271.748416,"2035-06-07",NA,"Entity.Vessel.CargoVessel",NA,NA,"gadusnspecificatae4ba","Cod/Gadus n.specificatae","Entity.Commodity.Fish",NA,NA,"cargo_2035_311470e5","Event.Transaction","2035-06-08",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-06-08",NA,"Entity.Document.DeliveryReport","2035-06-08","1.375","2035-06-08"
"15","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-21T13:25:57.850819",297242.149181,"2035-06-21",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_30554f50","Event.Transaction","2035-06-22",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-06-22",NA,"Entity.Document.DeliveryReport","2035-06-22","-7.5","2035-06-22"
"16","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-28T13:05:18.879039",82831.572818,"2035-06-28",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscesfrigus900","Birdseye/Pisces frigus","Entity.Commodity.Fish",NA,NA,"cargo_2035_279782b2","Event.Transaction","2035-06-29",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-06-29",NA,"Entity.Document.DeliveryReport","2035-06-29","31.25","2035-06-29"
"17","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-28T13:05:18.879039",82831.572818,"2035-06-28",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscissapidum9b7","Harland/Piscis sapidum","Entity.Commodity.Fish",NA,NA,"cargo_2035_2668430f","Event.Transaction","2035-06-29",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-06-29",NA,"Entity.Document.DeliveryReport","2035-06-29","3","2035-06-29"
"18","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-02T12:49:50.176926",126876.336894,"2035-07-02",NA,"Entity.Vessel.CargoVessel",NA,NA,"gadusnspecificatae4ba","Cod/Gadus n.specificatae","Entity.Commodity.Fish",NA,NA,"cargo_2035_279807eb","Event.Transaction","2035-07-03",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-03",NA,"Entity.Document.DeliveryReport","2035-07-03","7.5","2035-07-03"
"19","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-12T12:47:34.349963",318361.775966,"2035-07-12",NA,"Entity.Vessel.CargoVessel",NA,NA,"gadusnspecificatae4ba","Cod/Gadus n.specificatae","Entity.Commodity.Fish",NA,NA,"cargo_2035_27986589","Event.Transaction","2035-07-13",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-13",NA,"Entity.Document.DeliveryReport","2035-07-13","2.5","2035-07-13"
"20","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-12T12:47:34.349963",318361.775966,"2035-07-12",NA,"Entity.Vessel.CargoVessel",NA,NA,"gadusnspecificatae4ba","Cod/Gadus n.specificatae","Entity.Commodity.Fish",NA,NA,"cargo_2035_296012f2","Event.Transaction","2035-07-13",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-13",NA,"Entity.Document.DeliveryReport","2035-07-13","1.375","2035-07-13"
"21","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-12T12:47:34.349963",318361.775966,"2035-07-12",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_305596dd","Event.Transaction","2035-07-13",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-13",NA,"Entity.Document.DeliveryReport","2035-07-13","71.25","2035-07-13"
"22","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-19T13:24:34.608441",81512.366327,"2035-07-19",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscesfrigus900","Birdseye/Pisces frigus","Entity.Commodity.Fish",NA,NA,"cargo_2035_28203854","Event.Transaction","2035-07-20",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-20",NA,"Entity.Document.DeliveryReport","2035-07-20","0","2035-07-20"
"23","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-19T13:24:34.608441",81512.366327,"2035-07-19",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_27991e2e","Event.Transaction","2035-07-20",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-20",NA,"Entity.Document.DeliveryReport","2035-07-20","23.125","2035-07-20"
"24","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-19T13:24:34.608441",81512.366327,"2035-07-19",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_28562de2","Event.Transaction","2035-07-20",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-20",NA,"Entity.Document.DeliveryReport","2035-07-20","21.75","2035-07-20"
"25","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-23T13:11:05.111367",125559.11332,"2035-07-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_279937eb","Event.Transaction","2035-07-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-24",NA,"Entity.Document.DeliveryReport","2035-07-24","49.375","2035-07-24"
"26","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-23T13:11:05.111367",125559.11332,"2035-07-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_28563c2e","Event.Transaction","2035-07-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-24",NA,"Entity.Document.DeliveryReport","2035-07-24","18.75","2035-07-24"
"27","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-28T12:54:01.001478",169558.998522,"2035-07-28",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscesfoetidaae7","Sockfish/Pisces foetida","Entity.Commodity.Fish",NA,NA,"cargo_2035_309063bf","Event.Transaction","2035-07-29",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-29",NA,"Entity.Document.DeliveryReport","2035-07-29","24.75","2035-07-29"
"28","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-28T12:54:01.001478",169558.998522,"2035-07-28",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_27996833","Event.Transaction","2035-07-29",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-07-29",NA,"Entity.Document.DeliveryReport","2035-07-29","13.125","2035-07-29"
"29","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-02T13:10:22.992649",298177.007351,"2035-08-02",NA,"Entity.Vessel.CargoVessel",NA,NA,"gadusnspecificatae4ba","Cod/Gadus n.specificatae","Entity.Commodity.Fish",NA,NA,"cargo_2035_267033e4","Event.Transaction","2035-08-03",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-03",NA,"Entity.Document.DeliveryReport","2035-08-03","4.125","2035-08-03"
"30","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-02T13:10:22.992649",298177.007351,"2035-08-02",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscesfrigus900","Birdseye/Pisces frigus","Entity.Commodity.Fish",NA,NA,"cargo_2035_28209177","Event.Transaction","2035-08-03",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-03",NA,"Entity.Document.DeliveryReport","2035-08-03","3","2035-08-03"
"31","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-02T13:10:22.992649",298177.007351,"2035-08-02",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscesfoetidaae7","Sockfish/Pisces foetida","Entity.Commodity.Fish",NA,NA,"cargo_2035_30910b82","Event.Transaction","2035-08-03",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-03",NA,"Entity.Document.DeliveryReport","2035-08-03","16.5","2035-08-03"
"32","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-02T13:10:22.992649",298177.007351,"2035-08-02",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_3056326c","Event.Transaction","2035-08-03",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-03",NA,"Entity.Document.DeliveryReport","2035-08-03","86.25","2035-08-03"
"33","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-02T13:10:22.992649",298177.007351,"2035-08-02",NA,"Entity.Vessel.CargoVessel",NA,NA,"habeaspisces4eb","Beauvoir/Habeas pisces","Entity.Commodity.Fish",NA,NA,"cargo_2035_29614c5a","Event.Transaction","2035-08-03",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-03",NA,"Entity.Document.DeliveryReport","2035-08-03","46.75","2035-08-03"
"34","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-02T13:10:22.992649",298177.007351,"2035-08-02",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_28569a20","Event.Transaction","2035-08-03",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-03",NA,"Entity.Document.DeliveryReport","2035-08-03","17.25","2035-08-03"
"35","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-09T13:00:19.135691",83139.664781,"2035-08-09",NA,"Entity.Vessel.CargoVessel",NA,NA,"gadusnspecificatae4ba","Cod/Gadus n.specificatae","Entity.Commodity.Fish",NA,NA,"cargo_2035_26708634","Event.Transaction","2035-08-10",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-10",NA,"Entity.Document.DeliveryReport","2035-08-10","-0.25","2035-08-10"
"36","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-09T13:00:19.135691",83139.664781,"2035-08-09",NA,"Entity.Vessel.CargoVessel",NA,NA,"habeaspisces4eb","Beauvoir/Habeas pisces","Entity.Commodity.Fish",NA,NA,"cargo_2035_2961994f","Event.Transaction","2035-08-10",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-10",NA,"Entity.Document.DeliveryReport","2035-08-10","1.375","2035-08-10"
"37","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-09T13:00:19.135691",83139.664781,"2035-08-09",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_28574c9e","Event.Transaction","2035-08-10",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-10",NA,"Entity.Document.DeliveryReport","2035-08-10","11.25","2035-08-10"
"38","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-09T13:00:19.135691",83139.664781,"2035-08-09",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_3091485d","Event.Transaction","2035-08-10",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-10",NA,"Entity.Document.DeliveryReport","2035-08-10","3","2035-08-10"
"39","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-13T13:06:40.473734",125771.322846,"2035-08-13",NA,"Entity.Vessel.CargoVessel",NA,NA,"gadusnspecificatae4ba","Cod/Gadus n.specificatae","Entity.Commodity.Fish",NA,NA,"cargo_2035_26710159","Event.Transaction","2035-08-14",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-14",NA,"Entity.Document.DeliveryReport","2035-08-14","4.625","2035-08-14"
"40","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-13T13:06:40.473734",125771.322846,"2035-08-13",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscesfrigus900","Birdseye/Pisces frigus","Entity.Commodity.Fish",NA,NA,"cargo_2035_282164f1","Event.Transaction","2035-08-14",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-14",NA,"Entity.Document.DeliveryReport","2035-08-14","14.5","2035-08-14"
"41","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-13T13:06:40.473734",125771.322846,"2035-08-13",NA,"Entity.Vessel.CargoVessel",NA,NA,"habeaspisces4eb","Beauvoir/Habeas pisces","Entity.Commodity.Fish",NA,NA,"cargo_2035_27854918","Event.Transaction","2035-08-14",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-14",NA,"Entity.Document.DeliveryReport","2035-08-14","36","2035-08-14"
"42","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-13T13:06:40.473734",125771.322846,"2035-08-13",NA,"Entity.Vessel.CargoVessel",NA,NA,"habeaspisces4eb","Beauvoir/Habeas pisces","Entity.Commodity.Fish",NA,NA,"cargo_2035_29621aac","Event.Transaction","2035-08-14",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-14",NA,"Entity.Document.DeliveryReport","2035-08-14","50.875","2035-08-14"
"43","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-13T13:06:40.473734",125771.322846,"2035-08-13",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscissapidum9b7","Harland/Piscis sapidum","Entity.Commodity.Fish",NA,NA,"cargo_2035_26663623","Event.Transaction","2035-08-14",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-14",NA,"Entity.Document.DeliveryReport","2035-08-14","28.5","2035-08-14"
"44","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-13T13:06:40.473734",125771.322846,"2035-08-13",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_28006a7d","Event.Transaction","2035-08-14",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-14",NA,"Entity.Document.DeliveryReport","2035-08-14","16.25","2035-08-14"
"45","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-18T12:54:42.330355",169517.669645,"2035-08-18",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscissapidum9b7","Harland/Piscis sapidum","Entity.Commodity.Fish",NA,NA,"cargo_2035_26665296","Event.Transaction","2035-08-19",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-19",NA,"Entity.Document.DeliveryReport","2035-08-19","21","2035-08-19"
"46","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-18T12:54:42.330355",169517.669645,"2035-08-18",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_2476579c","Event.Transaction","2035-08-19",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-19",NA,"Entity.Document.DeliveryReport","2035-08-19","27.5","2035-08-19"
"47","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-23T13:00:58.489537",298741.510463,"2035-08-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscesfrigus900","Birdseye/Pisces frigus","Entity.Commodity.Fish",NA,NA,"cargo_2035_28223080","Event.Transaction","2035-08-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-24",NA,"Entity.Document.DeliveryReport","2035-08-24","2.5","2035-08-24"
"48","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-23T13:00:58.489537",298741.510463,"2035-08-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_30565f32","Event.Transaction","2035-08-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-24",NA,"Entity.Document.DeliveryReport","2035-08-24","31.875","2035-08-24"
"49","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-23T13:00:58.489537",298741.510463,"2035-08-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"habeaspisces4eb","Beauvoir/Habeas pisces","Entity.Commodity.Fish",NA,NA,"cargo_2035_2962829a","Event.Transaction","2035-08-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-24",NA,"Entity.Document.DeliveryReport","2035-08-24","1.375","2035-08-24"
"50","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-23T13:00:58.489537",298741.510463,"2035-08-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscissapidum9b7","Harland/Piscis sapidum","Entity.Commodity.Fish",NA,NA,"cargo_2035_26668451","Event.Transaction","2035-08-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-24",NA,"Entity.Document.DeliveryReport","2035-08-24","28.5","2035-08-24"
"51","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-23T13:00:58.489537",298741.510463,"2035-08-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_26717fe1","Event.Transaction","2035-08-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-24",NA,"Entity.Document.DeliveryReport","2035-08-24","3.125","2035-08-24"
"52","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-23T13:00:58.489537",298741.510463,"2035-08-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_28013c9c","Event.Transaction","2035-08-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-24",NA,"Entity.Document.DeliveryReport","2035-08-24","7.5","2035-08-24"
"53","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-23T13:00:58.489537",298741.510463,"2035-08-23",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_28580f64","Event.Transaction","2035-08-24",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-24",NA,"Entity.Document.DeliveryReport","2035-08-24","18","2035-08-24"
"54","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-30T12:53:20.364531",83332.103117,"2035-08-30",NA,"Entity.Vessel.CargoVessel",NA,NA,"habeaspisces4eb","Beauvoir/Habeas pisces","Entity.Commodity.Fish",NA,NA,"cargo_2035_29631c1f","Event.Transaction","2035-08-31",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-31",NA,"Entity.Document.DeliveryReport","2035-08-31","38.5","2035-08-31"
"55","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-30T12:53:20.364531",83332.103117,"2035-08-30",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_24769930","Event.Transaction","2035-08-31",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-31",NA,"Entity.Document.DeliveryReport","2035-08-31","20","2035-08-31"
"56","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-30T12:53:20.364531",83332.103117,"2035-08-30",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_267212e8","Event.Transaction","2035-08-31",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-31",NA,"Entity.Document.DeliveryReport","2035-08-31","2.5","2035-08-31"
"57","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-30T12:53:20.364531",83332.103117,"2035-08-30",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_30927391","Event.Transaction","2035-08-31",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-31",NA,"Entity.Document.DeliveryReport","2035-08-31","11.25","2035-08-31"
