"","source","target","type.x","time","dwell","arrivaldate","name","type.y","date","qty"
"22","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-30T09:13:53.325730",139718.203322,"2035-04-30",NA,"Entity.Vessel.CargoVessel",NA,NA
"23","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-05T08:55:49.893283",183850.106717,"2035-05-05",NA,"Entity.Vessel.CargoVessel",NA,NA
"24","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-10T09:07:09.021778",312770.978222,"2035-05-10",NA,"Entity.Vessel.CargoVessel",NA,NA
"25","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-17T09:18:50.834156",96111.158102,"2035-05-17",NA,"Entity.Vessel.CargoVessel",NA,NA
"26","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-21T08:56:05.199664",141040.484112,"2035-05-21",NA,"Entity.Vessel.CargoVessel",NA,NA
"27","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-26T07:34:36.320998",188723.679002,"2035-05-26",NA,"Entity.Vessel.CargoVessel",NA,NA
"28","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-05-31T09:04:39.758982",140365.266125,"2035-05-31",NA,"Entity.Vessel.CargoVessel",NA,NA
"29","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-04T00:00:00",0,"2035-06-04",NA,"Entity.Vessel.CargoVessel",NA,NA
"30","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-07T13:14:58.000122",82271.748416,"2035-06-07",NA,"Entity.Vessel.CargoVessel",NA,NA
"31","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-11T13:22:08.531876",143117.862982,"2035-06-11",NA,"Entity.Vessel.CargoVessel",NA,NA
"32","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-16T13:16:25.065437",168214.934563,"2035-06-16",NA,"Entity.Vessel.CargoVessel",NA,NA
"33","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-21T13:25:57.850819",297242.149181,"2035-06-21",NA,"Entity.Vessel.CargoVessel",NA,NA
"34","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-06-28T13:05:18.879039",82831.572818,"2035-06-28",NA,"Entity.Vessel.CargoVessel",NA,NA
"35","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-02T12:49:50.176926",126876.336894,"2035-07-02",NA,"Entity.Vessel.CargoVessel",NA,NA
"36","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-07T13:08:06.903187",168713.096813,"2035-07-07",NA,"Entity.Vessel.CargoVessel",NA,NA
"37","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-12T12:47:34.349963",318361.775966,"2035-07-12",NA,"Entity.Vessel.CargoVessel",NA,NA
"38","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-19T13:24:34.608441",81512.366327,"2035-07-19",NA,"Entity.Vessel.CargoVessel",NA,NA
"39","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-23T13:11:05.111367",125559.11332,"2035-07-23",NA,"Entity.Vessel.CargoVessel",NA,NA
"40","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-07-28T12:54:01.001478",169558.998522,"2035-07-28",NA,"Entity.Vessel.CargoVessel",NA,NA
"41","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-02T13:10:22.992649",298177.007351,"2035-08-02",NA,"Entity.Vessel.CargoVessel",NA,NA
"42","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-09T13:00:19.135691",83139.664781,"2035-08-09",NA,"Entity.Vessel.CargoVessel",NA,NA
"43","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-13T13:06:40.473734",125771.322846,"2035-08-13",NA,"Entity.Vessel.CargoVessel",NA,NA
"44","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-18T12:54:42.330355",169517.669645,"2035-08-18",NA,"Entity.Vessel.CargoVessel",NA,NA
"45","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-23T13:00:58.489537",298741.510463,"2035-08-23",NA,"Entity.Vessel.CargoVessel",NA,NA
"46","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-30T12:53:20.364531",83332.103117,"2035-08-30",NA,"Entity.Vessel.CargoVessel",NA,NA
"47","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-03T12:53:39.678165",126450.091317,"2035-09-03",NA,"Entity.Vessel.CargoVessel",NA,NA
"48","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-04T00:00:00",0,"2035-09-04",NA,"Entity.Vessel.CargoVessel",NA,NA
"49","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-06T12:30:40.483121",84811.657412,"2035-09-06",NA,"Entity.Vessel.CargoVessel",NA,NA
"50","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-09T17:05:00.068356",129712.312091,"2035-09-09",NA,"Entity.Vessel.CargoVessel",NA,NA
"51","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-12T06:53:00.259864",191286.1244,"2035-09-12",NA,"Entity.Vessel.CargoVessel",NA,NA
"52","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-16T12:49:25.252506",126681.048009,"2035-09-16",NA,"Entity.Vessel.CargoVessel",NA,NA
"53","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-20T16:46:49.494173",69384.158391,"2035-09-20",NA,"Entity.Vessel.CargoVessel",NA,NA
"54","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-22T13:20:04.186840",211583.927522,"2035-09-22",NA,"Entity.Vessel.CargoVessel",NA,NA
"55","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-27T13:46:55.719938",80003.409586,"2035-09-27",NA,"Entity.Vessel.CargoVessel",NA,NA
"56","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-09-30T12:54:42.348757",144767.304154,"2035-09-30",NA,"Entity.Vessel.CargoVessel",NA,NA
"57","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-04T12:51:23.164119",83549.798278,"2035-10-04",NA,"Entity.Vessel.CargoVessel",NA,NA
"58","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-07T15:37:27.903819",134988.287455,"2035-10-07",NA,"Entity.Vessel.CargoVessel",NA,NA
"59","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-11T15:59:27.603740",72382.97677,"2035-10-11",NA,"Entity.Vessel.CargoVessel",NA,NA
"60","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-11T00:00:00",22465.460808,"2035-10-11",NA,"Entity.Vessel.CargoVessel",NA,NA
"61","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-12T07:31:07.447298",275332.552702,"2035-10-12",NA,"Entity.Vessel.CargoVessel",NA,NA
"62","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-16T07:31:18.363371",172910.650236,"2035-10-16",NA,"Entity.Vessel.CargoVessel",NA,NA
"63","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-23T07:31:31.584158",168925.851864,"2035-10-23",NA,"Entity.Vessel.CargoVessel",NA,NA
"64","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-26T07:33:35.887167",275184.112833,"2035-10-26",NA,"Entity.Vessel.CargoVessel",NA,NA
"65","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-10-30T07:40:05.923839",533994.076161,"2035-10-30",NA,"Entity.Vessel.CargoVessel",NA,NA
"66","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-11-06T07:34:42.030889",168889.756419,"2035-11-06",NA,"Entity.Vessel.CargoVessel",NA,NA
"67","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-11-09T07:34:58.243768",275101.756232,"2035-11-09",NA,"Entity.Vessel.CargoVessel",NA,NA
"68","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-11-13T07:31:35.443157",168559.074095,"2035-11-13",NA,"Entity.Vessel.CargoVessel",NA,NA
"69","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-11-16T07:42:07.279106",274672.720894,"2035-11-16",NA,"Entity.Vessel.CargoVessel",NA,NA
"70","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-11-20T07:43:20.451144",167062.735478,"2035-11-20",NA,"Entity.Vessel.CargoVessel",NA,NA
"71","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-11-23T07:33:27.138057",513222.857947,"2035-11-23",NA,"Entity.Vessel.CargoVessel",NA,NA
"72","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-02-02T10:25:50.757496",3840.843007,"2035-02-02",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"73","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-02-06T10:03:59.246691",3629.277085,"2035-02-06",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"74","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-02-10T10:18:32.899975",3628.30415,"2035-02-10",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"75","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-02-14T10:23:27.244001",3775.964734,"2035-02-14",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"76","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-02-16T10:59:35.003256",3902.539427,"2035-02-16",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"77","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-02-20T10:38:35.162303",4270.159478,"2035-02-20",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"78","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-02-24T10:40:09.296924",3592.018089,"2035-02-24",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"79","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-02-28T10:19:25.218493",3979.178768,"2035-02-28",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"80","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-02T10:41:28.803526",3713.529636,"2035-03-02",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"81","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-06T10:09:17.955342",3622.980586,"2035-03-06",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"82","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-10T10:32:33.238961",4069.218489,"2035-03-10",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"83","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-14T10:02:46.881354",4102.823657,"2035-03-14",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"84","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-16T10:45:40.981923",3656.970319,"2035-03-16",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"85","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-20T10:19:26.694901",3567.93757,"2035-03-20",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"86","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-24T10:20:48.750724",3882.615606,"2035-03-24",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"87","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-28T10:58:41.380835",4088.527389,"2035-03-28",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"88","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-03-30T10:21:09.018331",3602.297879,"2035-03-30",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"89","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-04-03T10:27:16.761117",4167.88274,"2035-04-03",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"90","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-04-07T10:29:51.257616",3992.383573,"2035-04-07",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"91","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-04-11T10:38:55.018694",4149.69575,"2035-04-11",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"92","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-04-13T10:27:53.078055",4330.535756,"2035-04-13",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"93","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-04-21T10:30:19.353658",4221.645645,"2035-04-21",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"94","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-04-25T10:09:18.366060",4143.510809,"2035-04-25",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"95","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-04-27T10:07:54.480258",3984.044844,"2035-04-27",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"96","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-01T10:16:00.680637",4139.033136,"2035-05-01",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"97","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-05T10:26:31.435151",3794.361542,"2035-05-05",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"98","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-09T10:46:34.452433",4145.947657,"2035-05-09",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"99","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-11T10:00:39.766209",3565.488291,"2035-05-11",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"100","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-15T10:15:09.209939",4048.917472,"2035-05-15",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"101","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-19T10:14:04.523247",4297.338903,"2035-05-19",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"102","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-23T10:33:44.267237",3799.708805,"2035-05-23",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"103","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-25T10:24:09.548062",3817.279355,"2035-05-25",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"104","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-05-29T10:19:05.491268",3668.302693,"2035-05-29",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"105","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-06-02T10:43:21.248355",4162.089063,"2035-06-02",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"106","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-06-06T10:37:32.466084",3619.984915,"2035-06-06",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"107","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-06-08T09:58:02.614437",4219.428771,"2035-06-08",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"108","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-06-16T10:28:45.248965",4253.119775,"2035-06-16",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"109","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-06-20T10:01:31.619644",3957.277668,"2035-06-20",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"110","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-06-22T10:11:48.962501",4120.563784,"2035-06-22",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"111","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-06-26T10:29:36.878255",4061.420585,"2035-06-26",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"112","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-06-30T10:30:08.404305",4293.7512,"2035-06-30",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"113","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-07-04T09:57:46.500837",3977.082763,"2035-07-04",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"114","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-07-06T10:35:10.990912",4289.294776,"2035-07-06",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"115","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-07-10T10:30:20.465219",3848.237622,"2035-07-10",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"116","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-07-14T10:12:31.717787",3982.613776,"2035-07-14",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"117","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-07-18T10:04:37.720855",3878.652423,"2035-07-18",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"118","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-07-20T10:36:14.370151",4242.390145,"2035-07-20",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"119","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-07-24T10:29:36.837588",4319.989832,"2035-07-24",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"120","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-07-28T10:30:18.154979",3785.603538,"2035-07-28",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"121","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-01T10:02:00.412480",3655.838749,"2035-08-01",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"122","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-03T10:03:37.731924",3972.83184,"2035-08-03",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"123","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-07T10:22:29.575385",3749.731157,"2035-08-07",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"124","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-11T10:21:37.162113",4281.633071,"2035-08-11",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"125","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-15T10:11:09.373687",3910.097736,"2035-08-15",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"126","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-17T10:15:45.796518",4106.097727,"2035-08-17",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"127","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-21T10:41:36.340756",3909.474641,"2035-08-21",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"128","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-25T10:32:39.725061",3859.838455,"2035-08-25",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"129","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-29T10:13:54.128205",4088.447111,"2035-08-29",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"130","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-08-31T10:30:28.806437",3619.022961,"2035-08-31",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"131","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-09-04T10:28:32.635295",3727.596156,"2035-09-04",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"132","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-09-08T10:19:02.604530",4037.450216,"2035-09-08",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"133","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-09-12T10:42:02.606641",4095.090961,"2035-09-12",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"134","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-09-14T10:47:13.555151",3681.866059,"2035-09-14",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"135","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-09-18T10:25:14.624118",3909.917332,"2035-09-18",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"136","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-09-22T10:32:58.279950",3800.078583,"2035-09-22",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"137","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-09-26T10:05:07.983424",3915.00978,"2035-09-26",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"138","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-09-28T10:21:22.590706",4278.262581,"2035-09-28",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"139","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-02T10:27:16.030083",4348.477557,"2035-10-02",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"140","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-06T10:33:14.226750",4189.796992,"2035-10-06",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"141","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-10T10:32:40.270290",4241.333674,"2035-10-10",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"142","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-12T10:19:20.365500",3942.794228,"2035-10-12",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"143","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-16T10:37:49.462611",4003.457057,"2035-10-16",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"144","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-20T10:46:48.458457",3903.876233,"2035-10-20",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"145","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-24T10:31:48.924706",3627.516228,"2035-10-24",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"146","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-26T10:06:16.729937",4293.711392,"2035-10-26",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"147","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-10-30T10:27:53.347665",3642.042061,"2035-10-30",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"148","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-11-03T10:18:30.914808",3897.099817,"2035-11-03",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"149","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-11-07T10:37:41.174955",3825.019802,"2035-11-07",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"150","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-11-09T10:20:36.420438",3900.194338,"2035-11-09",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
"151","City of Haacklee","stout369","Event.TransportEvent.TransponderPing","2035-11-13T10:37:02.399753",4264.519168,"2035-11-13",NA,"Entity.Vessel.Ferry.Cargo",NA,NA
